panneaux;bilan_periode_kWh;besoin_batterie_utilisable_kWh;batteries;capacite_nominale_batteries_kWh;capacite_utilisable_batteries_kWh;cout_panneaux_EUR;cout_batteries_EUR;cout_total_EUR
62;59148.61868;12642.28407999994;7526;18062.399999999998;12643.68;8658.92;3386624.74;3395283.66
63;59514.71582;12491.504920000036;7436;17846.399999999998;12492.48;8798.58;3346125.64;3354924.22
64;59880.812959999996;12340.725759999958;7346;17630.399999999998;12341.279999999999;8938.24;3305626.54;3314564.7800000003
65;60246.9101;12189.946600000047;7256;17414.399999999998;12190.08;9077.9;3265127.44;3274205.34
66;60613.00723999999;12039.167439999925;7167;17200.8;12040.56;9217.56;3225078.33;3234295.89
67;60979.10438;11888.38828000016;7077;16984.8;11889.359999999999;9357.22;3184579.23;3193936.45
68;61345.201519999995;11737.609119999957;6987;16768.8;11738.16;9496.88;3144080.13;3153577.01
69;61711.29865999999;11586.829960000148;6897;16552.8;11586.96;9636.539999999999;3103581.0300000003;3113217.5700000003
70;62077.39579999999;11436.05079999999;6808;16339.199999999999;11437.439999999999;9776.199999999999;3063531.92;3073308.12
71;62443.492940000004;11285.271640000035;6718;16123.199999999999;11286.24;9915.86;3023032.82;3032948.6799999997
72;62809.59008000001;11134.492480000037;6628;15907.199999999999;11135.039999999999;10055.52;2982533.72;2992589.24
73;63175.68721999999;10983.713320000199;6538;15691.199999999999;10983.84;10195.18;2942034.62;2952229.8000000003
74;63541.78435999999;10832.934160000004;6449;15477.599999999999;10834.32;10334.84;2901985.5100000002;2912320.35
75;63907.8815;10682.15500000013;6359;15261.599999999999;10683.119999999999;10474.5;2861486.41;2871960.91
76;64273.97864;10531.375840000022;6269;15045.599999999999;10531.92;10614.16;2820987.31;2831601.47
77;64640.07578;10380.596680000126;6179;14829.599999999999;10380.72;10753.82;2780488.21;2791242.03
78;65006.172920000005;10229.817520000193;6090;14616.0;10231.199999999999;10893.48;2740439.1;2751332.58
79;65372.27006;10079.038360000122;6000;14400.0;10080.0;11033.14;2699940.0;2710973.14
80;65738.3672;9928.259200000124;5910;14184.0;9928.8;11172.8;2659440.9;2670613.6999999997
81;66104.46433999999;9777.480040000264;5820;13968.0;9777.6;11312.46;2618941.8000000003;2630254.2600000002
82;66470.56148;9626.700879999997;5731;13754.4;9628.08;11452.119999999999;2578892.69;2590344.81
83;66836.65862;9475.921720000217;5641;13538.4;9476.88;11591.779999999999;2538393.59;2549985.3699999996
84;67202.75576000001;9325.142560000051;5551;13322.4;9325.68;11731.44;2497894.49;2509625.93
85;67568.8529;9174.363400000031;5461;13106.4;9174.48;11871.1;2457395.39;2469266.49
86;67934.95004;9030.786800000067;5376;12902.4;9031.68;12010.76;2419146.24;2431157.0
87;68301.04718000001;8894.245100000015;5295;12708.0;8895.6;12150.42;2382697.0500000003;2394847.47
88;68667.14431999999;8757.703400000122;5213;12511.199999999999;8757.84;12290.08;2345797.87;2358087.95
89;69033.24145999999;8621.161700000092;5132;12316.8;8621.76;12429.74;2309348.68;2321778.4200000004
90;69399.3386;8484.620000000046;5051;12122.4;8485.68;12569.4;2272899.49;2285468.89
91;69765.43574;8348.07830000014;4970;11928.0;8349.6;12709.06;2236450.3;2249159.36
92;70131.53288;8211.536600000218;4888;11731.199999999999;8211.84;12848.72;2199551.12;2212399.8400000003
93;70497.63002;8074.99490000002;4807;11536.8;8075.759999999999;12988.38;2163101.93;2176090.31
94;70863.72716;7938.4532000000545;4726;11342.4;7939.679999999999;13128.039999999999;2126652.74;2139780.7800000003
95;71229.82430000001;7801.911500000053;4644;11145.6;7801.92;13267.699999999999;2089753.56;2103021.2600000002
96;71595.92143999999;7665.36980000008;4563;10951.199999999999;7665.84;13407.36;2053304.37;2066711.7300000002
97;71962.01857999999;7528.828100000035;4482;10756.8;7529.759999999999;13547.02;2016855.18;2030402.2
98;72328.11572;7398.995799999961;4405;10572.0;7400.4;13686.68;1982205.95;1995892.63
99;72694.21286;7296.417400000071;4344;10425.6;7297.92;13826.34;1954756.56;1968582.9000000001
100;73060.31;7193.839000000124;4283;10279.199999999999;7195.44;13966.0;1927307.17;1941273.17
101;73426.40714;7091.260599999994;4221;10130.4;7091.28;14105.66;1899407.79;1913513.45
102;73792.50428;6988.682199999945;4160;9984.0;6988.8;14245.32;1871958.4000000001;1886203.7200000002
103;74158.60141999999;6886.103800000121;4099;9837.6;6886.32;14384.98;1844509.01;1858893.99
104;74524.69856;6783.525400000115;4038;9691.199999999999;6783.84;14524.64;1817059.62;1831584.26
105;74890.7957;6680.947000000066;3977;9544.8;6681.36;14664.3;1789610.23;1804274.53
106;75256.89284;6578.36859999982;3916;9398.4;6578.88;14803.96;1762160.84;1776964.8
107;75622.98998;6475.790200000018;3855;9252.0;6476.4;14943.619999999999;1734711.45;1749655.07
108;75989.08712;6373.211800000063;3794;9105.6;6373.92;15083.279999999999;1707262.06;1722345.34
109;76355.18426000001;6270.633399999962;3733;8959.199999999999;6271.44;15222.94;1679812.67;1695035.6099999999
