"panels";"annual_balance_kWh";"required_usable_battery_kWh";"batteries";"nominal_battery_capacity_kWh";"usable_battery_capacity_kWh";"objective_equal_count"
"1206";"175857.976752";"1688.581386";"1006";"2414.4";"1690.08";"2212"
"1207";"176139.677072";"1688.202721";"1005";"2412";"1688.4";"2212"
"1208";"176421.377393";"1687.824055";"1005";"2412";"1688.4";"2213"
"1209";"176703.077714";"1687.44539";"1005";"2412";"1688.4";"2214"
"1210";"176984.778034";"1687.066724";"1005";"2412";"1688.4";"2215"
"1211";"177266.478355";"1686.688059";"1004";"2409.6";"1686.72";"2215"
"1212";"177548.178676";"1686.309393";"1004";"2409.6";"1686.72";"2216"
"1213";"177829.878997";"1685.930728";"1004";"2409.6";"1686.72";"2217"
"1214";"178111.579317";"1685.552062";"1004";"2409.6";"1686.72";"2218"
"1215";"178393.279638";"1685.173397";"1004";"2409.6";"1686.72";"2219"
"1216";"178674.979959";"1684.794731";"1003";"2407.2";"1685.04";"2219"
"1217";"178956.680279";"1684.416066";"1003";"2407.2";"1685.04";"2220"
"1218";"179238.3806";"1684.0374";"1003";"2407.2";"1685.04";"2221"
"1219";"179520.080921";"1683.658734";"1003";"2407.2";"1685.04";"2222"
"1220";"179801.781241";"1683.280069";"1002";"2404.8";"1683.36";"2222"
"1221";"180083.481562";"1682.901403";"1002";"2404.8";"1683.36";"2223"
"1222";"180365.181883";"1682.522738";"1002";"2404.8";"1683.36";"2224"
"1223";"180646.882203";"1682.144072";"1002";"2404.8";"1683.36";"2225"
"1224";"180928.582524";"1681.765407";"1002";"2404.8";"1683.36";"2226"
"1225";"181210.282845";"1681.386741";"1001";"2402.4";"1681.68";"2226"
"1226";"181491.983166";"1681.008076";"1001";"2402.4";"1681.68";"2227"
"1227";"181773.683486";"1680.62941";"1001";"2402.4";"1681.68";"2228"
"1228";"182055.383807";"1680.250745";"1001";"2402.4";"1681.68";"2229"
"1229";"182337.084128";"1679.872079";"1000";"2400";"1680";"2229"
"1230";"182618.784448";"1679.493414";"1000";"2400";"1680";"2230"
"1231";"182900.484769";"1679.114748";"1000";"2400";"1680";"2231"
"1232";"183182.18509";"1678.736083";"1000";"2400";"1680";"2232"
"1233";"183463.88541";"1678.357417";"1000";"2400";"1680";"2233"
"1234";"183745.585731";"1677.978752";"999";"2397.6";"1678.32";"2233"
"1235";"184027.286052";"1677.600086";"999";"2397.6";"1678.32";"2234"
"1236";"184308.986372";"1677.221421";"999";"2397.6";"1678.32";"2235"
"1237";"184590.686693";"1676.842755";"999";"2397.6";"1678.32";"2236"
"1238";"184872.387014";"1676.46409";"998";"2395.2";"1676.64";"2236"
"1239";"185154.087334";"1676.085424";"998";"2395.2";"1676.64";"2237"
"1240";"185435.787655";"1675.706759";"998";"2395.2";"1676.64";"2238"
"1241";"185717.487976";"1675.328093";"998";"2395.2";"1676.64";"2239"
"1242";"185999.188297";"1674.949428";"997";"2392.8";"1674.96";"2239"
"1243";"186280.888617";"1674.570762";"997";"2392.8";"1674.96";"2240"
"1244";"186562.588938";"1674.192097";"997";"2392.8";"1674.96";"2241"
"1245";"186844.289259";"1673.813431";"997";"2392.8";"1674.96";"2242"
"1246";"187125.989579";"1673.434766";"997";"2392.8";"1674.96";"2243"
"1247";"187407.6899";"1673.0561";"996";"2390.4";"1673.28";"2243"
"1248";"187689.390221";"1672.677434";"996";"2390.4";"1673.28";"2244"
"1249";"187971.090541";"1672.298769";"996";"2390.4";"1673.28";"2245"
"1250";"188252.790862";"1671.920103";"996";"2390.4";"1673.28";"2246"
"1251";"188534.491183";"1671.541438";"995";"2388";"1671.6";"2246"
"1252";"188816.191503";"1671.162772";"995";"2388";"1671.6";"2247"
"1253";"189097.891824";"1670.784107";"995";"2388";"1671.6";"2248"
"1254";"189379.592145";"1670.405441";"995";"2388";"1671.6";"2249"
"1255";"189661.292466";"1670.026776";"995";"2388";"1671.6";"2250"
"1256";"189942.992786";"1669.64811";"994";"2385.6";"1669.92";"2250"
"1257";"190224.693107";"1669.269445";"994";"2385.6";"1669.92";"2251"
"1258";"190506.393428";"1668.890779";"994";"2385.6";"1669.92";"2252"
"1259";"190788.093748";"1668.512114";"994";"2385.6";"1669.92";"2253"
"1260";"191069.794069";"1668.133448";"993";"2383.2";"1668.24";"2253"
"1261";"191351.49439";"1667.754783";"993";"2383.2";"1668.24";"2254"
"1262";"191633.19471";"1667.376117";"993";"2383.2";"1668.24";"2255"
"1263";"191914.895031";"1666.997452";"993";"2383.2";"1668.24";"2256"
"1264";"192196.595352";"1666.618786";"993";"2383.2";"1668.24";"2257"
"1265";"192478.295672";"1666.240121";"992";"2380.8";"1666.56";"2257"
"1266";"192759.995993";"1665.861455";"992";"2380.8";"1666.56";"2258"
"1267";"193041.696314";"1665.48279";"992";"2380.8";"1666.56";"2259"
"1268";"193323.396634";"1665.104124";"992";"2380.8";"1666.56";"2260"
"1269";"193605.096955";"1664.725459";"991";"2378.4";"1664.88";"2260"
"1270";"193886.797276";"1664.346793";"991";"2378.4";"1664.88";"2261"
"1271";"194168.497597";"1663.968128";"991";"2378.4";"1664.88";"2262"
"1272";"194450.197917";"1663.589462";"991";"2378.4";"1664.88";"2263"
"1273";"194731.898238";"1663.210797";"991";"2378.4";"1664.88";"2264"
"1274";"195013.598559";"1662.832131";"990";"2376";"1663.2";"2264"
"1275";"195295.298879";"1662.453466";"990";"2376";"1663.2";"2265"
"1276";"195576.9992";"1662.0748";"990";"2376";"1663.2";"2266"
"1277";"195858.699521";"1661.696134";"990";"2376";"1663.2";"2267"
"1278";"196140.399841";"1661.317469";"989";"2373.6";"1661.52";"2267"
"1279";"196422.100162";"1660.938803";"989";"2373.6";"1661.52";"2268"
"1280";"196703.800483";"1660.560138";"989";"2373.6";"1661.52";"2269"
"1281";"196985.500803";"1660.181472";"989";"2373.6";"1661.52";"2270"
"1282";"197267.201124";"1659.802807";"988";"2371.2";"1659.84";"2270"
"1283";"197548.901445";"1659.424141";"988";"2371.2";"1659.84";"2271"
"1284";"197830.601766";"1659.045476";"988";"2371.2";"1659.84";"2272"
"1285";"198112.302086";"1658.66681";"988";"2371.2";"1659.84";"2273"
"1286";"198394.002407";"1658.288145";"988";"2371.2";"1659.84";"2274"
"1287";"198675.702728";"1657.909479";"987";"2368.8";"1658.16";"2274"
"1288";"198957.403048";"1657.530814";"987";"2368.8";"1658.16";"2275"
"1289";"199239.103369";"1657.152148";"987";"2368.8";"1658.16";"2276"
"1290";"199520.80369";"1656.773483";"987";"2368.8";"1658.16";"2277"
"1291";"199802.50401";"1656.394817";"986";"2366.4";"1656.48";"2277"
"1292";"200084.204331";"1656.016152";"986";"2366.4";"1656.48";"2278"
"1293";"200365.904652";"1655.637486";"986";"2366.4";"1656.48";"2279"
"1294";"200647.604972";"1655.258821";"986";"2366.4";"1656.48";"2280"
"1295";"200929.305293";"1654.880155";"986";"2366.4";"1656.48";"2281"
"1296";"201211.005614";"1654.50149";"985";"2364";"1654.8";"2281"
"1297";"201492.705934";"1654.122824";"985";"2364";"1654.8";"2282"
"1298";"201774.406255";"1653.744159";"985";"2364";"1654.8";"2283"
"1299";"202056.106576";"1653.365493";"985";"2364";"1654.8";"2284"
"1300";"202337.806897";"1652.986828";"984";"2361.6";"1653.12";"2284"
"1301";"202619.507217";"1652.608162";"984";"2361.6";"1653.12";"2285"
"1302";"202901.207538";"1652.229497";"984";"2361.6";"1653.12";"2286"
"1303";"203182.907859";"1651.850831";"984";"2361.6";"1653.12";"2287"
"1304";"203464.608179";"1651.472166";"984";"2361.6";"1653.12";"2288"
"1305";"203746.3085";"1651.0935";"983";"2359.2";"1651.44";"2288"
"1306";"204028.008821";"1650.714834";"983";"2359.2";"1651.44";"2289"
"1307";"204309.709141";"1650.336169";"983";"2359.2";"1651.44";"2290"
"1308";"204591.409462";"1649.957503";"983";"2359.2";"1651.44";"2291"
"1309";"204873.109783";"1649.578838";"982";"2356.8";"1649.76";"2291"
"1310";"205154.810103";"1649.200172";"982";"2356.8";"1649.76";"2292"
"1311";"205436.510424";"1648.821507";"982";"2356.8";"1649.76";"2293"
"1312";"205718.210745";"1648.442841";"982";"2356.8";"1649.76";"2294"
"1313";"205999.911066";"1648.064176";"981";"2354.4";"1648.08";"2294"
"1314";"206281.611386";"1647.68551";"981";"2354.4";"1648.08";"2295"
"1315";"206563.311707";"1647.306845";"981";"2354.4";"1648.08";"2296"
"1316";"206845.012028";"1646.928179";"981";"2354.4";"1648.08";"2297"
"1317";"207126.712348";"1646.549514";"981";"2354.4";"1648.08";"2298"
"1318";"207408.412669";"1646.170848";"980";"2352";"1646.4";"2298"
"1319";"207690.11299";"1645.792183";"980";"2352";"1646.4";"2299"
"1320";"207971.81331";"1645.413517";"980";"2352";"1646.4";"2300"
"1321";"208253.513631";"1645.034852";"980";"2352";"1646.4";"2301"
"1322";"208535.213952";"1644.656186";"979";"2349.6";"1644.72";"2301"
"1323";"208816.914272";"1644.277521";"979";"2349.6";"1644.72";"2302"
"1324";"209098.614593";"1643.898855";"979";"2349.6";"1644.72";"2303"
"1325";"209380.314914";"1643.52019";"979";"2349.6";"1644.72";"2304"
"1326";"209662.015234";"1643.141524";"979";"2349.6";"1644.72";"2305"
"1327";"209943.715555";"1642.762859";"978";"2347.2";"1643.04";"2305"
"1328";"210225.415876";"1642.384193";"978";"2347.2";"1643.04";"2306"
"1329";"210507.116197";"1642.005528";"978";"2347.2";"1643.04";"2307"
"1330";"210788.816517";"1641.626862";"978";"2347.2";"1643.04";"2308"
"1331";"211070.516838";"1641.248197";"977";"2344.8";"1641.36";"2308"
"1332";"211352.217159";"1640.869531";"977";"2344.8";"1641.36";"2309"
"1333";"211633.917479";"1640.490866";"977";"2344.8";"1641.36";"2310"
"1334";"211915.6178";"1640.1122";"977";"2344.8";"1641.36";"2311"
"1335";"212197.318121";"1639.733534";"977";"2344.8";"1641.36";"2312"
"1336";"212479.018441";"1639.354869";"976";"2342.4";"1639.68";"2312"
"1337";"212760.718762";"1638.976203";"976";"2342.4";"1639.68";"2313"
"1338";"213042.419083";"1638.597538";"976";"2342.4";"1639.68";"2314"
"1339";"213324.119403";"1638.218872";"976";"2342.4";"1639.68";"2315"
"1340";"213605.819724";"1637.840207";"975";"2340";"1638";"2315"
"1341";"213887.520045";"1637.461541";"975";"2340";"1638";"2316"
"1342";"214169.220366";"1637.082876";"975";"2340";"1638";"2317"
"1343";"214450.920686";"1636.70421";"975";"2340";"1638";"2318"
"1344";"214732.621007";"1636.325545";"975";"2340";"1638";"2319"
"1345";"215014.321328";"1635.946879";"974";"2337.6";"1636.32";"2319"
"1346";"215296.021648";"1635.568214";"974";"2337.6";"1636.32";"2320"
"1347";"215577.721969";"1635.189548";"974";"2337.6";"1636.32";"2321"
"1348";"215859.42229";"1634.810883";"974";"2337.6";"1636.32";"2322"
"1349";"216141.12261";"1634.432217";"973";"2335.2";"1634.64";"2322"
"1350";"216422.822931";"1634.053552";"973";"2335.2";"1634.64";"2323"
"1351";"216704.523252";"1633.674886";"973";"2335.2";"1634.64";"2324"
"1352";"216986.223572";"1633.296221";"973";"2335.2";"1634.64";"2325"
"1353";"217267.923893";"1632.917555";"972";"2332.8";"1632.96";"2325"
"1354";"217549.624214";"1632.53889";"972";"2332.8";"1632.96";"2326"
"1355";"217831.324534";"1632.160224";"972";"2332.8";"1632.96";"2327"
"1356";"218113.024855";"1631.781559";"972";"2332.8";"1632.96";"2328"
"1357";"218394.725176";"1631.402893";"972";"2332.8";"1632.96";"2329"
"1358";"218676.425497";"1631.024228";"971";"2330.4";"1631.28";"2329"
"1359";"218958.125817";"1630.645562";"971";"2330.4";"1631.28";"2330"
"1360";"219239.826138";"1630.266897";"971";"2330.4";"1631.28";"2331"
"1361";"219521.526459";"1629.888231";"971";"2330.4";"1631.28";"2332"
"1362";"219803.226779";"1629.509566";"970";"2328";"1629.6";"2332"
"1363";"220084.9271";"1629.1309";"970";"2328";"1629.6";"2333"
"1364";"220366.627421";"1628.752234";"970";"2328";"1629.6";"2334"
"1365";"220648.327741";"1628.373569";"970";"2328";"1629.6";"2335"
"1366";"220930.028062";"1627.994903";"970";"2328";"1629.6";"2336"
"1367";"221211.728383";"1627.616238";"969";"2325.6";"1627.92";"2336"
"1368";"221493.428703";"1627.237572";"969";"2325.6";"1627.92";"2337"
"1369";"221775.129024";"1626.858907";"969";"2325.6";"1627.92";"2338"
"1370";"222056.829345";"1626.480241";"969";"2325.6";"1627.92";"2339"
"1371";"222338.529666";"1626.101576";"968";"2323.2";"1626.24";"2339"
"1372";"222620.229986";"1625.72291";"968";"2323.2";"1626.24";"2340"
"1373";"222901.930307";"1625.344245";"968";"2323.2";"1626.24";"2341"
"1374";"223183.630628";"1624.965579";"968";"2323.2";"1626.24";"2342"
"1375";"223465.330948";"1624.586914";"968";"2323.2";"1626.24";"2343"
"1376";"223747.031269";"1624.208248";"967";"2320.8";"1624.56";"2343"
"1377";"224028.73159";"1623.829583";"967";"2320.8";"1624.56";"2344"
"1378";"224310.43191";"1623.450917";"967";"2320.8";"1624.56";"2345"
"1379";"224592.132231";"1623.072252";"967";"2320.8";"1624.56";"2346"
"1380";"224873.832552";"1622.693586";"966";"2318.4";"1622.88";"2346"
"1381";"225155.532872";"1622.314921";"966";"2318.4";"1622.88";"2347"
"1382";"225437.233193";"1621.936255";"966";"2318.4";"1622.88";"2348"
"1383";"225718.933514";"1621.55759";"966";"2318.4";"1622.88";"2349"
"1384";"226000.633834";"1621.178924";"965";"2316";"1621.2";"2349"
"1385";"226282.334155";"1620.800259";"965";"2316";"1621.2";"2350"
"1386";"226564.034476";"1620.421593";"965";"2316";"1621.2";"2351"
"1387";"226845.734797";"1620.042928";"965";"2316";"1621.2";"2352"
"1388";"227127.435117";"1619.664262";"965";"2316";"1621.2";"2353"
"1389";"227409.135438";"1619.285597";"964";"2313.6";"1619.52";"2353"
"1390";"227690.835759";"1618.906931";"964";"2313.6";"1619.52";"2354"
"1391";"227972.536079";"1618.528266";"964";"2313.6";"1619.52";"2355"
"1392";"228254.2364";"1618.1496";"964";"2313.6";"1619.52";"2356"
"1393";"228535.936721";"1617.770934";"963";"2311.2";"1617.84";"2356"
"1394";"228817.637041";"1617.392269";"963";"2311.2";"1617.84";"2357"
"1395";"229099.337362";"1617.013603";"963";"2311.2";"1617.84";"2358"
"1396";"229381.037683";"1616.634938";"963";"2311.2";"1617.84";"2359"
"1397";"229662.738003";"1616.256272";"963";"2311.2";"1617.84";"2360"
"1398";"229944.438324";"1615.877607";"962";"2308.8";"1616.16";"2360"
"1399";"230226.138645";"1615.498941";"962";"2308.8";"1616.16";"2361"
"1400";"230507.838966";"1615.120276";"962";"2308.8";"1616.16";"2362"
"1401";"230789.539286";"1614.74161";"962";"2308.8";"1616.16";"2363"
"1402";"231071.239607";"1614.362945";"961";"2306.4";"1614.48";"2363"
"1403";"231352.939928";"1613.984279";"961";"2306.4";"1614.48";"2364"
"1404";"231634.640248";"1613.605614";"961";"2306.4";"1614.48";"2365"
"1405";"231916.340569";"1613.226948";"961";"2306.4";"1614.48";"2366"
"1406";"232198.04089";"1612.848283";"961";"2306.4";"1614.48";"2367"
"1407";"232479.74121";"1612.469617";"960";"2304";"1612.8";"2367"
"1408";"232761.441531";"1612.090952";"960";"2304";"1612.8";"2368"
"1409";"233043.141852";"1611.712286";"960";"2304";"1612.8";"2369"
"1410";"233324.842172";"1611.333621";"960";"2304";"1612.8";"2370"
"1411";"233606.542493";"1610.954955";"959";"2301.6";"1611.12";"2370"
"1412";"233888.242814";"1610.57629";"959";"2301.6";"1611.12";"2371"
"1413";"234169.943134";"1610.197624";"959";"2301.6";"1611.12";"2372"
"1414";"234451.643455";"1609.818959";"959";"2301.6";"1611.12";"2373"
"1415";"234733.343776";"1609.440293";"959";"2301.6";"1611.12";"2374"
